path,bytes,sha256,active,source_family,license_or_status
resources/dictionaries/katolicki_izrazi_.xlsx,9641,14cd203f993ca319248e75a42756dc8a76e5472bcd98cb2b6a8aa692a6f74faa,no,DigiKat legacy working dictionary,origin and license verification required before independent reuse
resources/dictionaries/katolički_izrazi.xlsx,11324,3e5bf96e09c3ebac4f930ff758e1e7052c3f7f705399761cc835f3b5e2acfda4,no,DigiKat legacy working dictionary,origin and license verification required before independent reuse
resources/dictionaries/katolički_izrazi_small.xlsx,10455,ec44f1442f25be810e6f6474ebfaf3f53034241fd91c9c9cc284f63e0449e09b,no,DigiKat legacy working dictionary,origin and license verification required before independent reuse
resources/dictionaries/lilaHR_clean.xlsx,400292,b8fef0e9d0d69819b5b54b6f24db640e0f72f48edb36a7fc50de17371b24f143,yes,LiLaH transformed workbook,CC BY-NC-SA 4.0
resources/dictionaries/lilaHR_clean_long.xlsx,435947,3b22f01807261b081c3f6fb31d4dd26569ac4941b9458bb26daa68d10b3a806a,no,LiLaH transformed workbook,CC BY-NC-SA 4.0
resources/dictionaries/lilaHR_full.xlsx,644518,ed0568ebf4f30e2e4671a3a8f0a0f88c77d12c0fc4a28ad4bba4d9a702a0d6da,no,LiLaH transformed workbook,CC BY-NC-SA 4.0
resources/dictionaries/source_labels.csv,9465,a5223fd5d12eea01ca9a90157357abe39abb9ef95c6354873ed8136f37b87570,yes,DigiKat source catalog configuration,project-declared CC BY 4.0
resources/lexicons/crosentilex-negatives.txt,642190,93a52c91d71e4e37b6b921ac2cfff8e0fd99c50d53dcaf9a3ca61c6a4a41fe13,yes,CroSentiLex,MIT per HR-CLARIN record
resources/lexicons/crosentilex-positives.txt,641404,7810531e2e4a55395a2c93ddef639ea62059faf5de3f7b9345bc0ebec4e7630a,yes,CroSentiLex,MIT per HR-CLARIN record
resources/lexicons/gs-sentiment-annotations.txt,26629,158e503a74fe38c130058201792b709eac8094e2d2427a951ff8dab85c354473,yes,CroSentiLex gold annotations,MIT per HR-CLARIN record
resources/lexicons/LiLaH-HR-NL-SL.tsv,729966,cebe07e1460fbab83762190534a37e4d8545f1ba1649b3685e803c494cc5ac60,no,LiLaH raw multilingual lexicon,CC BY-NC-SA 4.0
resources/lexicons/lilaHRcsv.csv,284299,a5a63879b0e08db1ee463cff00af093fe56bb4ee0f72666011191fd04ecd69de,no,LiLaH transformed Croatian export,CC BY-NC-SA 4.0
resources/lexicons/rules.txt,5505,064180768d675b53cabd9c3385a54466d2b2bb1328216a8a833be3c90bc27e8d,no,legacy Croatian stemmer rules,origin and license verification required before independent reuse
resources/lexicons/transformations.txt,1487,b4084a8b22cdd1f4b2bfc410fae25da4d109730343390d7f94d8c9d92099984d,no,legacy Croatian stemmer transformations,origin and license verification required before independent reuse
resources/models/croatian-set-ud-2.5-191206.udpipe,19236607,b8e0ad212bdc84c57366bd7267d21810e1fd3239c4d22ca5867f94e76c6cedc7,yes,UDPipe 1 UD 2.5 Croatian SET model,CC BY-NC-SA plus underlying CC BY-SA 4.0
resources/dictionaries/demokrscanstvo/v1/actors.yaml,15298,7575618803102223783578d406641a448672cbac6d4a18fecaa0719b9fc03941,yes,DigiKat original enumerated barometer rules; approved R3 brief and CST document titles,Original project rules; human validation pending; no restricted article text
resources/dictionaries/demokrscanstvo/v1/argument_connectors.yaml,6965,576d885a137209a5e38c683baed5b53df28e5cf378ce867f0b0ed9fd9e624b6f,yes,DigiKat original enumerated barometer rules; approved R3 brief and CST document titles,Original project rules; human validation pending; no restricted article text
resources/dictionaries/demokrscanstvo/v1/christian_grounding.yaml,4277,ee19b68401f2445020d1d871b91c5832d2a8eba1e8101ac2cbd4ee08c3d7a44c,yes,DigiKat original enumerated barometer rules; approved R3 brief and CST document titles,Original project rules; human validation pending; no restricted article text
resources/dictionaries/demokrscanstvo/v1/concept_families.yaml,22444,ae5894ca9bab70df8c262ce00b44bbff80018d2f1598cd7a8b5bda86cec9a9ec,yes,DigiKat original enumerated barometer rules; approved R3 brief and CST document titles,Original project rules; human validation pending; no restricted article text
resources/dictionaries/demokrscanstvo/v1/direct_terms.yaml,18289,0dcd360d30d26f7c6231a29484b5363b20d8263612355d5de570bcfedf668b8f,yes,DigiKat original enumerated barometer rules; approved R3 brief and CST document titles,Original project rules; human validation pending; no restricted article text
resources/dictionaries/demokrscanstvo/v1/doctrinal_anchors.yaml,21608,12fa9479810bb745213868f8a6d231e56ef06ed54bd42473867ade9f9b98e202,yes,DigiKat original enumerated barometer rules; approved R3 brief and CST document titles,Original project rules; human validation pending; no restricted article text
resources/dictionaries/demokrscanstvo/v1/domain_themes.yaml,7003,3d5067df02c07ce3774e50b34a075547a9a40cfd785542aceeb01782e06f58dc,yes,DigiKat original enumerated barometer rules; approved R3 brief and CST document titles,Original project rules; human validation pending; no restricted article text
resources/dictionaries/demokrscanstvo/v1/exclusions.yaml,8914,1ebc2e8b941b052895e8b45cdf1c4ae4561057acbde89754b5dac0e2525255a2,yes,DigiKat original enumerated barometer rules; approved R3 brief and CST document titles,Original project rules; human validation pending; no restricted article text
resources/dictionaries/demokrscanstvo/v1/identity_register.yaml,1923,0a7373cc35cc7dfb381a908b623ea6e22d2e87e4066590f53ea7f7a809db2c1e,yes,DigiKat original enumerated barometer rules; approved R3 brief and CST document titles,Original project rules; human validation pending; no restricted article text
resources/dictionaries/demokrscanstvo/v1/public_context.yaml,16729,c64e06b8fc8f6c743fb76ae47aa958739473cdd0f773506ede46aea7ad004bfe,yes,DigiKat original enumerated barometer rules; approved R3 brief and CST document titles,Original project rules; human validation pending; no restricted article text
resources/dictionaries/demokrscanstvo/v1/README.md,3601,7f96248b0bb6da71b67c10742696d63f466091b942917db9f06a2b2e2b6869d8,yes,DigiKat original enumerated barometer rules; approved R3 brief and CST document titles,Original project rules; human validation pending; no restricted article text
resources/dictionaries/demokrscanstvo/v1/rules.yaml,481,5c9794d72fcd20c7abe5f8da87e4b8492987d88f22e759a40f1512adb0196690,yes,DigiKat original enumerated barometer rules; approved R3 brief and CST document titles,Original project rules; human validation pending; no restricted article text
resources/dictionaries/demokrscanstvo/v1/segmenter.yaml,489,6179905708534e07dbb184445da6b9e250c249d7a0ebcbf03d20d6b2232e7c32,yes,DigiKat original enumerated barometer rules; approved R3 brief and CST document titles,Original project rules; human validation pending; no restricted article text
